Survey ID,date,month,decade,year,site,Acanthophora.spicifera,Amansia.glomerata,Asparagopsis.taxiformis,Astronema.breviarticulatum,Avranvillea.amadelpha,Cyanobacteria.spp,Bornetella.sphaerica,Botrycladia.spp,Bryopsis.spp,Caulerpa.spp,Chaetomorpha.spp,Chnoospora.minima,Cladophora.spp,Codium.spp,Brown.Crust,Ceolothrix.spp,Colpomenia.sinuosa,CCA,Dictyosphaeria.spp,Dictyota.spp,Dictyopteris.spp,Enteromorpha.spp,Liagora.spp,Gelid.spp,Gelidiella.acerosa,Gracilaria.salicornia,Halimeda.discoidea,Hydroclathrus.clathratus,Hypnea.spp,Hypnea.musciformis,Articulated.Corallines,Laurencia.spp,Lobophora.variegata,Martensia.spp,Microdictyon.setchellianum,Padina.spp,Pterocladiella.spp,Sargassum.spp,Spyridia.filamentosa,Sphacelaria.spp,Trichogloea.spp,Turbinaria.ornata,Ulva.spp,Valonia.spp,Wrangelia.elegantissima,Turf,other.algae,Actinopyga.obesa,Anthopleura.nigrescens,Aplysia.spp,Brachidontes.crebristriatus,Calcinus.elegans,Conus.spp,Cypraea.spp,Echinometra.spp,Holothuria.spp,Isognomon.spp,Littorinidae,Montipora.capitata,Montipora.flabellata,Morula.granulata,Morula.uva,Nerita.spp,Barnacles,Brittle.Star,other.whelks,Pocillopora.damicornis,Pocillopora.meandrina,Porites.lobata,Vermitidae,Siphonaria.normalis,Spirobranhus.gigateus,Unknown.snails,Sponge,Stomatopod,unknown.coral,other.inverts,Akalaphycus.setchelliae,Asteronema.breviarticulatum,Chondrophycus.parvipapillatus,Gelidium.pusillum,Grateloupia.spp,Neomeris.spp,Actinopyga.varians,Chthamalus.intertextus,Crab,Onchidium.verruculatum,Protopalythoa.spp,Stylocheilus.striatus,Tripneustes.gratilla
27,April.17.2006,April,A,2006,Diamond Head,0.217,0,0,0,0.167,0,0.017,0,0,0,0,0,0,0,0,0,0.033,0,0.783,1.867,0,0,0,0,0,0,2.167,0,0,0,0,18.183,0,0,0,13.067,0,15.417,0,0,0,0.15,0,0,0,3.9,1.5,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.05,0,0,0.167,0,0,0,0,0,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,April.7.2016,April,B,2016,Diamond Head,0.58536585,0,0.09756098,0,0,1.26829269,0,0,0,0,0,0,0.48780488,0.29268293,2.04878049,0,0,4.29268293,0.58536585,4.68292683,0,0,0.09756098,0,0,0,0,0,0,0,0.19512195,9.95121951,0,0,0.48780488,25.26829268,0,0.97560976,1.07317073,1.07317073,0,2.34146341,0,0,0.29268293,12.58536585,0.3902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09756098,0,0,0,0,0,0,0,0,4.48780488,0.19512195,0,0,0,0,0,0,0,0,0,0.09756098,0,0.19512195,0,0,0,0,0,0,0
29,April.19. 2016,April,B,2016,Diamond Head,0.137931,0.137931,0,0,0,3.5862069,0.2758621,0,0,0,0,0,1.2413793,0,0,0,0,0.6896552,0.5517241,1.7931034,0,0,0,0,0.6896552,0,0.137931,0,1.7931034,0,1.5172414,9.9310345,0,0,0.5517241,24,0,2.8965517,4.8275862,0,0,1.5172414,0.137931,0,0,3.862069,0,0,0,0,0,0,0,0,0,0,0,1.2413793,0,0,0,0,0,0,0,0,0,0,0,4.9655172,0,0,0,0,0,0,0,0,0,0.137931,0,0,0.137931,0,0.2758621,0.4137931,0,0,0,0.137931
30,March.10.2017,March,B,2017,Diamond Head,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.6666667,0.3333333,0,0,0,3.8333333,0,0,0,45.5,0,0.5,0.5,0,0,10.5,0,0,0,19.8333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,April.27.2017,April,B,2017,Diamond Head,0,0,0,0,0,3.483871,0,0,0,0,0,1.9354839,0,0,0,0,0,0,0.6451613,0.7741935,0,0,0,0,0,0,0,0,1.1612903,0,0,0,0,0,0,32.516129,0,3.3548387,0,0,0,6.8387097,0,0,0,22.9677419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1290323,0,0,0,0,0,0,0,0,0.2580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,April.28.2006,April,A,2006,Sand Island,0.461,0,0,0,0,0,0,0,0,0,0,0,0,0.369,0,0,0,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0,2.306,0,0,0,5.904,0,0.185,0,0,0,0,0,0,0,0,0.646,0,0,0,0,0,0,0,0.092,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,May.15.2006,May,A,2006,Sand Island,0.478,0,0,0,0,0.756,0.318,0,0,0,0,0,0,0.159,0,0,0,0,0.159,0,0,0,0.239,0,0,0,0,0,0,0,0,0.318,0,0,0,8.639,0,1.194,0,0,0,0,0,0,0,8.121,0,0,0,0,0,0,0,0,0.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,May.1.2007,May,A,2007,Sand Island,1.154,0,0,0,0,1.01,0,0,0,0,0,0,0.529,0.096,0.289,0,0,0.722,0.048,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,1.395,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,1.828,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,May.1.2007,May,A,2007,Sand Island,0.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,0,0,0,0,20.972,0,0,0,0,0,0,0,0,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,May.1.2007,May,A,2007,Sand Island,1.361,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0.501,0,0.072,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.095,0,0,0,0,0,0,0,0,0,5.91,1.003,0,0,0,0,0,0,0,0.215,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,May.4.2007,May,A,2007,Sand Island,0.62,0,0,0,0,3.722,0,0,0,0,0,0,0,0.069,1.034,0,0.069,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0.965,0,0,0.965,0,0,0,0,0,0,0,0,0,9.924,0,0,0,0,0,0,0,0,0,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,May.4.2007,May,A,2007,Sand Island,0.276,0,0,0,0,14.675,0,0,0,0,0,0,0,0,0,0,0,0.276,0.735,0,0,0,0,0,0,0,0,0,0,0,0.061,0,0.123,0,0,0.49,0,0,0,0,0,0,0,0,0,4.228,0.031,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,May.4.2007,May,A,2007,Sand Island,0,0,0,0,0.212,2.282,0,0,0,0,0,0,0,0.531,0.372,0,0.106,3.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.132,0,0,0,0.106,0,0,0,0,0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,May.16.2007,May,A,2007,Sand Island,0.84,0,0,0,0.053,2.625,0,0,0,0,0,0,0,0.263,0.053,0,0,0,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0.105,0,0,4.673,0,0,0,0,0.105,0,0,0,0,14.386,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.21,0,0,0,0,0,0,0,0,0.035,0,0,0,0
65,March.10.2016,March,B,2016,Sand Island,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0.2222222,2.3333333,0,0,0.1111111,0.2222222,0,0,0,0,0,0.6666667,0,0,0,0.2222222,0,0,0,0.2222222,0,0,1.5555556,0,0.6666667,0,0.1111111,0,0,0,0,0,45.1111111,0,0,0,0,0.4444444,0,0,0,0.2222222,0,0.1111111,0,0,0,0,0,0,0,0.4444444,0,0,0,0,1.2222222,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0,0,0,0,0,0.3333333,0.1111111,0
66,April.11.2016,April,B,2016,Sand Island,0,0,1.3793103,0,0,5.2413793,0,0,0,0,0,0,0,0,3.1724138,0,0,2.0689655,0.8275862,0.137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.2068966,0,0,0,0,0,0,0,0,0.4137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,April.10.2017,April,B,2017,Sand Island,0,0.1212121,0.2424242,0,0,0,0.2424242,0,0,0,0,0,0,0,0,0,0,2.4242424,0.3636364,0.1212121,0,0,0.2424242,0,0,0,0,0,0.1212121,0,2.0606061,0,0,0,0,1.2121212,0,0,6.7878788,0,0,0,0,0,0,44.2424242,0,0,0,0,0,0,0,0,0.2424242,0,1.8181818,0,0,0,0,0,0,0,0.1212121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4848485,0,0,0,0,0,0,0
68,April.26.2017,April,B,2017,Sand Island,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,3.8,0,0,5.6,0.4,0,0,0,0.8,0,0,0,0,0,0,0,0.4,0,0,0,0,3.4,0,0,1,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,4.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,May.12.2017,May,B,2017,Sand Island,0,0,0,0,0,2.875,0.125,0,0,0,0,0,0,0,0.75,0,0,5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0,0,0,56.875,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,2.125,0.25,0,0,0,0,0,0
73,April.5.2007,April,A,2007,Waiopae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.571,0,0,0,0,0,0,0,0,0,0,0,0,0,37.429,0.286,0,0,0,0,0,0,0,0.286,0,0,0,26.857,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,May.17.2007,May,A,2007,Waiopae,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.871,0,0,15.904,0,2.288,0,0,0.109,0,0,0,0,0,0,0,0,1.307,3.05,0,0,0.654,0,0,0,0,0,0,0,0,0,58.061,0,0,0,0,0,0,0,0,0.545,0,0,0,1.307,0.327,0,0,0,0,0,0,0,1.961,6.209,2.614,0,0,0,0,0,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,May.17.2007,May,A,2007,Waiopae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.612,0,0,9.015,0,2.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0.419,59.119,0,0,0,0,0,0,0,0,0.21,0,0,0,1.258,1.677,0,0,0,0,0.21,0,0.21,2.306,16.143,1.258,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,May.17.2007,May,A,2007,Waiopae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.576,0,0,0,0,0,0,0,0,0,0,0,0,0,1.832,0,0,0,1.249,0,0,0,0,0,0,0.167,0,0,56.037,0.083,0,0,0,0,0,0,0,0.999,0,0,0,0.916,0.5,0,0,0,0,0,0,0.333,1.998,11.657,5.579,0,0,0,0,0,0.167,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
77,April.8.2016,April,B,2016,Waiopae,0,0,0,0,0,5.2173913,0,0,0,0,0,0,0,0,54.7826087,0,0,17.7391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173913,0,0,0,0,0,0,0,18.9565217,0,0,0,0,0,0,0.173913,0,0.173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,May.24.2017,May,B,2017,Waiopae,0,0,0,0,0,0.48,0.16,0,0,0,0,0,0,0,3.52,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0,0,0,0,0,82.24,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0.48,0,0,0.32,0,0.64,2.4,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0
81,April.18.2006,April,A,2006,Waipuilani,2.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.405,0,0.086,0,0,0,0,0,0,0,0,0,1.984,0,0.173,0,0,0,0.777,0,1.208,0,0,0.259,0,5.091,0,0,1.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0,0,0,0,0,0,0,0,0,0,0,0,2.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,April.20.2007,April,A,2007,Waipuilani,1.401,0,0,0.501,0,2.703,0,0,0.2,0,0,0,0,0,0.901,0,0.1,1.802,0,0.4,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0.501,0,0,0,0,2.703,0,0,6.306,0,0,0.2,0,0,0,0,0.3,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,May.1.2007,May,A,2007,Waipuilani,1.624,0,0,0,0,0,0,0,0,0,0.085,0,0.085,0,0,0,0.085,6.239,0,0.171,0,0,0,0.085,0,0,0,0,0,1.709,0,0.085,0,0,0,0.769,0,3.333,0,0.085,0,0,1.026,0,0,3.761,0.256,0,0,0,0,0,0,0.085,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427,0,0,0,0,0,0,0,0,0.085,0,0,0,0
84,April.26.2016,April,B,2016,Waipuilani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.933333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.933333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
