Survey ID,date,site,island,exposure,substrate,Acanthophora.spicifera,Ahnfeltiopsis.spp,Amansia.glomerata,Articulated.Corallines,Asparagopsis.taxiformis,Asteronema.breviarticulatum,Avrainvillea.amadelpha,Boodlea.composita,Bornetella.sphaerica,Brown.Crust,Bryopsis.spp,Caulerpa.spp,Centroceras.clavulatum,Chaetomorpha.antennina,Chnoospora.minima,Chondrophycus.parvipapillatus,Cladophora.spp,Codium.spp,Coelothrix.irregularis,Colpomenia.sinuosa,Crustose.Coralline,Cyanobacteria.spp,Red.unknown,Red.calcifying.branching.unknown,Dictyosphaeria.spp,Dictyota.spp,Gelidiales,Gracilaria.salicornia,Griffithsia.spp,Halimeda.discoidea,Hydroclathrus.clathratus,Hypnea.spp,Laurencia.spp,Leptolyngbya.crosbyana,Lyngbya.majuscula,Microdictyon.setchellianum,Neomeris.spp,Padina.spp,Sargassum.spp,Sphacelaria.spp,Turbinaria.ornata,Turf.spp,Ulva.spp,Unknown.algae,Actinopyga.varians,Aplysia.spp,Barnacles.spp,Coral.spp,Cellana.spp,Vermetidae,Diadema.paucispinum,Littorinidae,Echinometra.spp,Grapsus.tenuicrustatus,Hermit.Crab,Holothuria.spp,Isognomon.spp,Littoraria.pintado,Monetaria.caputserpentis,Morula.granulata,Nerita.picea,Onchidium.verruculatum,Ophiocoma.brevipes,Pennaria.disticha,Siphonaria.normalis,Snail.spp,Sponge.spp
14,4/19/2017,Ewa Beach,Oahu,leeward,M,1.5,0,0,0,0,0,0.3333333,0,1.3333333,0,0,0,0.3333333,0,0,0,0.1666667,0,0,0,0.3333333,0,5.5,0,0.5,15.8333333,0.1666667,0,0,0,0,0.6666667,5,0,0.1666667,0,0.5,48,0,0.1666667,0,3.3333333,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4/25/2017,Ewa Beach,Oahu,leeward,M,1.6470588,0,0,0.1176471,1.6470588,0,0.8235294,0,0.1176471,0.2352941,1.2941176,0.1176471,0,0,0,3.2941176,0.3529412,0,0,0,0.1176471,0,0,0.2352941,7.0588235,6.2352941,0,0,0.4705882,0,0,1.4117647,2.5882353,0,0,1.0588235,0,34.4705882,1.1764706,0,0,10.2352941,0.1176471,0,0,0,0,0,0,0,0,0,0,0,0,0.2352941,0,0,0,0,0,0,0,1.6470588,0,0,0
16,5/5/2017,Ewa Beach,Oahu,leeward,M,0.32,0,0,0.32,0.64,0,0.64,0,0.16,0,0,0,0,0,0,0,0.16,0.16,0.16,0,4.8,0,3.84,1.28,0.32,8.64,0,0,0,0.8,0,0.48,4.32,0,0,0.16,0,48.8,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5/11/2017,Ewa Beach,Oahu,leeward,M,5.8333333,0,0,1.6666667,0,0,0.8333333,0,1.5,0,0.1666667,0,0,0,0,0,0.8333333,0.8333333,0,0,0.1666667,0,1.8333333,0.6666667,1.8333333,0.3333333,1.6666667,1.1666667,0,0,0,2,5.3333333,0,0,1,0.6666667,20.3333333,2.1666667,0,0,5.3333333,1,5.8333333,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667
48,4/10/2017,Sand Island,Oahu,leeward,B,0,0,0.1212121,2.0606061,0.2424242,0,0,0,0.2424242,0,0,0,0,0,0,0,0,0,0,0,2.4242424,0,6.7878788,0.2424242,0.3636364,0.1212121,0,0,0,0,0,0.1212121,0,0,0,0,0.4848485,1.2121212,0,0,0,44.2424242,0,0,0,0,0,0,0,0,0,0,0.2424242,0,0,0,1.8181818,0,0,0,0,0,0.1212121,0,0,0,0
49,4/26/2017,Sand Island,Oahu,leeward,B,0,0,0,0.4,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,5.6,0,1,0.8,0.4,0,0,0,0,0,0,0,0,0,0.4,0,0,3.4,0,0,0,55,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
50,5/12/2017,Sand Island,Oahu,leeward,B,0,0,0,0,0,0,0,0,0.125,0.75,0,0,0,0,0,0,0,0,0,0,5.625,2.125,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,2.125,0.25,0,0,0.5,56.875,0,0,0.25,0,0,0,0,0.875,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4/25/2017,Hulopoe Bay,Lanai,leeward,B,1.4,0,0,3.8,0,0.2,0,2,0,1.4,0,0,0,0,1.2,0,0,1,0,0,7,0,0,0,0.8,2.6,0,0,0,0,0,1,1,0,0,0,0,4.2,4.4,0.2,0.2,11,0,0,0.6,0,0,0,0,0,0,1,4,0.2,0,3.6,0,1,0.4,0,4.6,0,0,0,0,0,0
24,4/28/2017,Hulopoe Bay,Lanai,leeward,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.818182,0,0,2.545455,0,0,0,0,0,0,0,0,0,0,0,0,0,2.909091,0,0,0,26.545455,5.818182,0,0,0,0,0,0,0.72727272,0,0,0,0,0.3636364,0,0,0,0,0,0,0,0,0,0,0,0
61,3/4/2017,Waipuilani,Maui,bay,L,17.86046512,0,0,0,0,0,0,0,0,1.95348837,0,0,0,0,0,0,0,0,0,0,27.81395349,0,0,0,0,0,6.13953488,0,0,0,0,1.20930233,0,0,0,0.18604651,0,0,0,0,0,5.39534884,0.55813953,0.18604652,0,0,0,0,0,0.09302326,0,0.09302326,0,0,0,0,0,0.09302326,0,0,0.09302326,0.09302326,0,0,0,0,0
62,5/10/2017,Waipuilani,Maui,bay,L,28.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6666667,0,0,0.1666667,0,0,0.6666667,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,2.8333333,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0
40,3/12/2017,Onekahakaha,Hawaii,windward,B,0.125,0,0,0.125,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,3.25,0,0,1,0.25,0,0,7.75,0,0,0,3.125,0,0,0,0,0,0.625,0,0,0,43.75,0.375,0,0,0,0,2.75,0,3.25,0.375,0,1.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
41,4/26/2017,Onekahakaha,Hawaii,windward,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7142857,0,0,0,0,0,0,0.2857143,0,0,0,0,0,0,0,0,0,0.5714286,0,0,0,53.8571429,0.7142857,0,0,0,0,1.8571428,0,0,0,0,0.7142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
